street,num_opponents,pot_bb,facing_bet_bb,effective_stack_bb,allow_bluffs,equity,pot_odds,action
preflop,3,66.69,21.65,132.02,0,0.29,0.245076,CALL
flop,3,60.27,15.0,95.86,0,0.045,0.199283,FOLD
flop,1,20.79,14.15,30.24,0,0.405,0.40498,CALL
preflop,4,16.85,1.96,76.04,0,0.145,0.1042,CALL
river,2,16.81,4.39,27.6,0,0.18,0.207075,FOLD
preflop,1,70.58,12.93,40.51,0,0.345,0.154832,CALL
turn,1,26.04,28.09,123.5,0,0.62,0.518936,CALL
turn,1,10.46,5.45,114.71,0,0.84,0.342552,RAISE
river,1,24.14,19.23,100.5,0,0.79,0.443394,RAISE
flop,2,60.01,16.61,53.69,0,0.175,0.216784,FOLD
turn,4,28.22,23.0,72.56,0,0.07,0.449043,FOLD
river,4,56.56,26.84,41.81,0,0.62,0.321823,CALL
flop,4,46.45,23.39,63.73,0,0.145,0.334908,FOLD
turn,2,16.94,15.01,55.94,0,0.21,0.469797,FOLD
turn,4,72.86,10.41,96.51,0,0.545,0.125015,CALL
turn,4,55.72,24.49,142.55,0,0.21,0.305324,FOLD
river,1,53.3,18.99,73.72,0,0.385,0.262692,CALL
turn,1,24.06,8.62,96.3,0,0.245,0.26377,CALL
flop,3,68.48,30.08,69.4,0,0.315,0.305195,CALL
river,1,36.45,12.09,96.38,0,0.51,0.249073,CALL
turn,2,22.04,21.81,82.64,0,0.335,0.497377,FOLD
turn,3,54.3,26.01,142.98,0,0.465,0.32387,CALL
flop,2,44.14,27.95,34.29,0,0.245,0.38771,FOLD
flop,4,41.43,15.06,123.1,0,0.35,0.266596,CALL
flop,2,68.09,12.25,92.31,0,0.38,0.152477,CALL
turn,3,36.56,14.84,98.92,0,0.095,0.288716,FOLD
turn,4,24.58,11.95,145.61,0,0.02,0.327128,FOLD
river,4,36.49,10.6,55.71,0,0.0,0.225101,FOLD
turn,1,27.72,18.56,70.25,0,0.56,0.401037,CALL
flop,4,5.41,2.37,113.55,0,0.485,0.304627,CALL
turn,2,32.12,2.86,49.19,0,0.055,0.081761,FOLD
preflop,1,76.37,19.04,122.23,0,0.375,0.19956,CALL
preflop,3,23.31,22.36,76.8,0,0.25,0.489599,FOLD
river,1,20.41,15.8,67.08,0,0.63,0.436344,CALL
preflop,3,41.68,4.25,46.13,0,0.255,0.092532,CALL
flop,2,51.53,19.28,36.27,0,0.095,0.272278,FOLD
preflop,3,42.17,3.72,51.43,0,0.165,0.081063,CALL
turn,3,45.15,2.57,85.55,0,0.745,0.053856,RAISE
turn,4,47.53,27.89,114.29,0,0.15,0.369796,FOLD
river,3,45.53,7.87,146.48,0,0.01,0.147378,FOLD
turn,4,9.84,9.1,20.67,0,0.18,0.480465,FOLD
flop,1,59.46,27.68,93.81,0,0.27,0.31765,FOLD
flop,4,60.32,21.2,74.06,0,0.075,0.260059,FOLD
