street,num_opponents,pot_bb,facing_bet_bb,effective_stack_bb,allow_bluffs,equity,pot_odds,action
preflop,3,66.69,30.23,95.06,0,0.175,0.311907,FOLD
preflop,4,72.03,0.0,48.51,0,0.1625,0.0,CHECK
river,1,20.79,2.43,115.15,0,0.79375,0.104651,RAISE
flop,4,16.85,0.0,76.04,0,0.40625,0.0,CHECK
river,2,16.81,0.0,27.6,0,0.2,0.0,CHECK
preflop,1,70.58,0.0,40.51,0,0.3625,0.0,CHECK
turn,1,26.04,24.98,131.89,0,0.5375,0.489612,CALL
flop,1,10.46,0.0,114.71,0,0.575,0.0,CHECK
river,1,24.14,18.13,32.14,0,0.8,0.428909,RAISE
turn,3,61.73,22.12,55.7,0,0.9125,0.263804,RAISE
turn,1,72.74,23.37,30.91,0,0.33125,0.243159,CALL
flop,3,46.91,13.45,142.39,0,0.0875,0.22283,FOLD
preflop,3,4.24,1.33,47.58,0,0.1875,0.238779,FOLD
turn,3,58.52,18.6,56.79,0,0.1,0.241183,FOLD
flop,1,75.91,0.0,47.43,0,0.675,0.0,BET
flop,3,4.02,0.0,107.66,0,0.5625,0.0,CHECK
preflop,4,61.28,0.0,91.4,0,0.08125,0.0,CHECK
river,4,28.92,19.09,79.19,0,0.0,0.397625,FOLD
flop,4,78.31,24.78,33.07,0,0.35625,0.240372,CALL
turn,3,79.43,0.0,147.13,0,0.9875,0.0,BET
turn,1,22.63,0.0,67.92,0,0.7375,0.0,BET
river,3,6.72,0.0,145.87,0,0.0625,0.0,CHECK
preflop,1,58.72,23.23,59.21,0,0.45625,0.283466,CALL
preflop,1,9.12,0.0,76.14,0,0.33125,0.0,CHECK
flop,1,9.16,4.45,78.97,0,0.55,0.326965,CALL
turn,2,41.02,28.31,29.37,0,0.09375,0.408337,FOLD
river,1,15.82,9.63,118.08,0,0.31875,0.378389,FOLD
river,2,5.05,6.01,88.13,0,0.975,0.5434,RAISE
turn,2,28.66,7.01,150.0,0,0.6375,0.196524,CALL
preflop,4,70.18,4.04,129.97,0,0.1,0.054433,CALL
turn,2,34.75,16.27,34.41,0,0.15,0.318895,FOLD
preflop,1,24.89,0.0,45.93,0,0.35,0.0,CHECK
turn,3,49.96,0.0,103.13,0,0.40625,0.0,CHECK
preflop,4,17.61,0.0,29.63,0,0.20625,0.0,CHECK
river,2,35.74,2.41,36.14,0,0.68125,0.063172,RAISE
turn,1,14.33,0.0,80.38,0,0.36875,0.0,CHECK
flop,3,40.6,23.07,81.18,0,0.675,0.362337,RAISE
preflop,2,49.29,11.81,99.7,0,0.3375,0.19329,CALL
river,1,57.05,19.85,149.76,0,0.8875,0.258127,RAISE
river,3,74.78,5.24,100.04,0,0.8375,0.065484,RAISE
flop,4,79.15,17.54,142.01,0,0.45,0.181404,CALL
river,3,55.84,32.95,67.78,0,0.98125,0.3711,RAISE
flop,1,32.88,26.23,95.18,0,0.8875,0.443749,RAISE
river,1,9.87,0.0,97.71,0,0.125,0.0,CHECK
flop,4,77.49,5.13,51.57,0,0.08125,0.062092,CALL
turn,3,73.32,0.0,73.81,0,0.10625,0.0,CHECK
